,trial_names,result
0,pick_and_place_simple-Pencil-None-Desk-310_0:,PASS
1,pick_and_place_simple-ToiletPaper-None-Toilet-419_0:,PASS
2,pick_and_place_simple-HandTowel-None-CounterTop-421_0:,PASS
3,pick_and_place_simple-CellPhone-None-SideTable-326_0:,FAIL
4,pick_and_place_simple-HandTowel-None-BathtubBasin-423_0:,PASS
5,pick_and_place_simple-Laptop-None-ArmChair-206_0:,PASS
6,pick_and_place_simple-SoapBottle-None-Toilet-405_0:,PASS
7,pick_and_place_simple-Pot-None-SinkBasin-2_0:,PASS
8,pick_and_place_simple-Book-None-Bed-312_0:,PASS
9,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-421_0:,PASS
10,pick_and_place_simple-Pillow-None-ArmChair-225_0:,PASS
11,pick_and_place_simple-Box-None-ArmChair-212_0:,PASS
12,pick_and_place_simple-ButterKnife-None-SideTable-28_0:,PASS
13,pick_and_place_simple-CD-None-Shelf-326_0:,PASS
14,pick_and_place_simple-Box-None-Sofa-205_0:,PASS
15,pick_and_place_simple-SoapBottle-None-Toilet-413_0:,FAIL
16,pick_and_place_simple-HandTowel-None-GarbageCan-420_0:,FAIL
17,pick_and_place_simple-Tomato-None-Microwave-8_0:,PASS
18,pick_and_place_simple-Vase-None-Safe-204_0:,PASS
19,pick_and_place_simple-Book-None-SideTable-329_0:,FAIL
20,pick_and_place_simple-Watch-None-CoffeeTable-207_0:,PASS
21,pick_and_place_simple-AlarmClock-None-Desk-318_0:,PASS
22,pick_and_place_simple-Candle-None-SideTable-420_0:,PASS
23,pick_and_place_simple-CD-None-Shelf-310_0:,PASS
24,pick_and_place_simple-AlarmClock-None-Desk-307_0:,PASS
25,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-423_0:,PASS
26,pick_and_place_simple-CellPhone-None-Dresser-317_0:,PASS
27,pick_and_place_simple-CellPhone-None-Desk-327_0:,PASS
28,pick_and_place_simple-Glassbottle-None-CounterTop-23_0:,FAIL
29,pick_and_place_simple-HandTowel-None-CounterTop-416_0:,PASS
30,pick_and_place_simple-TennisRacket-None-Bed-303_0:,PASS
31,pick_and_place_simple-Book-None-ArmChair-318_0:,PASS
32,pick_and_place_simple-SoapBottle-None-GarbageCan-11_0:,PASS
33,pick_and_place_simple-KeyChain-None-ArmChair-214_0:,PASS
34,pick_and_place_simple-Pencil-None-Desk-309_0:,PASS
35,pick_and_place_simple-KeyChain-None-SideTable-309_0:,FAIL
36,pick_and_place_simple-Plunger-None-Cabinet-417_0:,FAIL
37,pick_and_place_simple-Pen-None-SideTable-309_0:,PASS
38,pick_and_place_simple-HandTowel-None-BathtubBasin-402_0:,PASS
39,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-407_0:,FAIL
40,pick_and_place_simple-Candle-None-Toilet-412_0:,FAIL
41,pick_and_place_simple-Cloth-None-BathtubBasin-410_0:,FAIL
42,pick_and_place_simple-Box-None-Desk-314_0:,PASS
43,pick_and_place_simple-HandTowel-None-BathtubBasin-419_0:,PASS
44,pick_and_place_simple-SprayBottle-None-Toilet-418_0:,PASS
45,pick_and_place_simple-Kettle-None-Shelf-1_0:,PASS
46,pick_and_place_simple-Pencil-None-Desk-307_0:,PASS
47,pick_and_place_simple-Spoon-None-SinkBasin-12_0:,FAIL
48,pick_and_place_simple-ToiletPaper-None-Toilet-429_0:,PASS
49,pick_and_place_simple-SprayBottle-None-GarbageCan-428_0:,PASS
50,pick_and_place_simple-TissueBox-None-SideTable-229_0:,PASS
51,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-410_0:,PASS
52,pick_and_place_simple-Pillow-None-Sofa-209_0:,FAIL
53,pick_and_place_simple-Egg-None-Microwave-4_0:,FAIL
54,pick_and_place_simple-WineBottle-None-Shelf-7_0:,FAIL
55,pick_and_place_simple-Candle-None-Toilet-413_0:,PASS
56,pick_and_place_simple-Pen-None-SideTable-329_0:,PASS
57,pick_and_place_simple-Tomato-None-DiningTable-26_0:,PASS
58,pick_and_place_simple-Candle-None-Cabinet-407_0:,FAIL
59,pick_and_place_simple-SoapBottle-None-Toilet-429_0:,FAIL
60,pick_and_place_simple-SprayBottle-None-CounterTop-421_0:,PASS
61,pick_and_place_simple-SoapBottle-None-Cart-430_0:,FAIL
62,pick_and_place_simple-RemoteControl-None-Sofa-222_0:,FAIL
63,pick_and_place_simple-Plunger-None-Cabinet-422_0:,FAIL
64,pick_and_place_simple-RemoteControl-None-Ottoman-208_0:,PASS
65,pick_and_place_simple-SprayBottle-None-Cabinet-403_0:,FAIL
66,pick_and_place_simple-SprayBottle-None-GarbageCan-421_0:,PASS
67,pick_and_place_simple-Watch-None-Shelf-207_0:,PASS
68,pick_and_place_simple-KeyChain-None-Sofa-225_0:,PASS
69,pick_and_place_simple-RemoteControl-None-Sofa-216_0:,PASS
70,pick_and_place_simple-RemoteControl-None-ArmChair-227_0:,PASS
71,pick_and_place_simple-Knife-None-SideTable-3_0:,PASS
72,pick_and_place_simple-TissueBox-None-Dresser-301_0:,FAIL
73,pick_and_place_simple-WateringCan-None-CoffeeTable-209_0:,PASS
74,pick_and_place_simple-Plunger-None-Cabinet-406_0:,FAIL
75,pick_and_place_simple-KeyChain-None-ArmChair-213_0:,PASS
76,pick_and_place_simple-Spoon-None-SinkBasin-19_0:,FAIL
77,pick_and_place_simple-KeyChain-None-Shelf-313_0:,FAIL
78,pick_and_place_simple-SaltShaker-None-Cabinet-10_0:,FAIL
79,pick_and_place_simple-Laptop-None-Ottoman-203_0:,FAIL
80,pick_and_place_simple-Book-None-Desk-314_0:,PASS
81,pick_and_place_simple-CD-None-SideTable-328_0:,PASS
82,pick_and_place_simple-SoapBottle-None-Toilet-426_0:,PASS
83,pick_and_place_simple-Book-None-Cabinet-310_0:,PASS
84,pick_and_place_simple-CellPhone-None-ArmChair-321_0:,PASS
85,pick_and_place_simple-BaseballBat-None-Bed-308_0:,PASS
86,pick_and_place_simple-CreditCard-None-ArmChair-216_0:,PASS
87,pick_and_place_simple-Pencil-None-Shelf-313_0:,PASS
88,pick_and_place_simple-CellPhone-None-Bed-321_0:,PASS
89,pick_and_place_simple-Vase-None-Safe-219_0:,PASS
90,pick_and_place_simple-Pencil-None-Shelf-308_0:,PASS
91,pick_and_place_simple-TissueBox-None-GarbageCan-427_0:,FAIL
